2025-04-02 15:25:50 [main] INFO  UdpChatClient.UdpChatClient - UDP Chat Client initialized. Server: localhost:9876
2025-04-02 15:25:50 [ClientListener] INFO  UdpChatClient.UdpChatClient - Message listener started.
2025-04-02 15:26:09 [main] INFO  UdpChatClient.CaesarCipher - Encrypting with shift: 9
2025-04-02 15:26:09 [main] INFO  UdpChatClient.CaesarCipher - Processing text: {"action":"login","data":{"chatid":"user1","password":"hashed_password1"}}
2025-04-02 15:26:09 [main] INFO  UdpChatClient.UdpChatClient - Sent action: login (TempID: a267c115-3a76-4702-be6c-0f65ca331533) - waiting for server CHARACTER_COUNT...
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Decrypting with shift: 9
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Processing text: {"action":"character_count","status":"success","message":"Provide confirmation.","data":{"transaction_id":"C2S_login_1","original_action":"login","letter_frequencies":{"a":7,"\"":14,"c":2,"d":5,"e":2,"g":1,"h":3,"i":3,"l":1,",":2,"n":2,"o":4,"p":2,"1":2,"r":3,"s":6,"t":3,"u":1,"w":2,":":4,"{":2,"}":2,"_":1}}}
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Received decrypted JSON: {"action":"character_count","status":"success","message":"Provide confirmation.","data":{"transaction_id":"C2S_login_1","original_action":"login","letter_frequencies":{"a":7,"\"":14,"c":2,"d":5,"e":2,"g":1,"h":3,"i":3,"l":1,",":2,"n":2,"o":4,"p":2,"1":2,"r":3,"s":6,"t":3,"u":1,"w":2,":":4,"{":2,"}":2,"_":1}}}
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Received CHARACTER_COUNT for original action 'login', server tx ID: C2S_login_1
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Found matching pending request (TempID: a267c115-3a76-4702-be6c-0f65ca331533) for original action login
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Associated server tx ID C2S_login_1 with pending action login (TempID: a267c115-3a76-4702-be6c-0f65ca331533)
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - 

count letter: {"action":"login","data":{"chatid":"user1","password":"hashed_password1"}}


2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Frequency check successful for transaction: C2S_login_1
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Encrypting with shift: 9
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Processing text: {"action":"confirm_count","data":{"transaction_id":"C2S_login_1","confirm":true}}
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Sent CONFIRM_COUNT (confirmed: true) for transaction: C2S_login_1
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Decrypting with shift: 9
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Processing text: {"action":"login_success","status":"success","message":"Login successful. Confirm receipt.","data":{"chatid":"user1","session_key":"uIGYq4UurlRYwX0H","transaction_id":"S2C_login_success_2"}}
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Received decrypted JSON: {"action":"login_success","status":"success","message":"Login successful. Confirm receipt.","data":{"chatid":"user1","session_key":"uIGYq4UurlRYwX0H","transaction_id":"S2C_login_success_2"}}
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Received initial action 'login_success' from server, starting S->C flow
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - 

count letter: {"action":"login_success","status":"success","message":"Login successful. Confirm receipt.","data":{"chatid":"user1","session_key":"uIGYq4UurlRYwX0H","transaction_id":"S2C_login_success_2"}}


2025-04-02 15:26:10 [ClientListener] ERROR UdpChatClient.UdpChatClient - Attempted encryption with null or empty key for packet to 127.0.0.1:9876
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.UdpChatClient - Sent CHARACTER_COUNT for transaction: S2C_login_success_2
2025-04-02 15:26:10 [ClientListener] INFO  UdpChatClient.CaesarCipher - Decrypting with shift: 9
